,id,slot,upgrade_current,primary,inate,sub1,sub2,sub3,sub4,rarity,nb_stars,type,grind,effi_stats,effi_real
38,31209355265,3,15, DEF,, VIT, HP, % DEF, % HP,Legend,6,Fatale,61.68,71.33,72.64
39,40305473465,1,12, ATK, HP, VIT, % Accuracy, % Res, % ATK,Legend,6,Endurance,0.0,80.12,72.58
40,39116090336,2,15, % HP, % Tx. crit, HP, % ATK, VIT, % Dmg crit,Héroïque,6,Proctection,65.81,71.41,72.56
41,37373146888,4,15, % Dmg crit,, % DEF, VIT, % HP, % Tx. crit,Legend,6,Will,60.0,74.28,72.45
42,28331410832,3,15, DEF, % DEF, VIT, % Tx. crit, % HP, HP,Legend,6,Revenge,71.9,68.09,72.28
43,39489705842,6,15, % ATK,, % Tx. crit, VIT, % Dmg crit, % Res,A Legend,16,Lame,0.0,79.77,72.26
44,38660810735,2,15, % ATK,, % Dmg crit, % DEF, % Tx. crit, VIT,A Legend,16,Will,0.0,79.74,72.24
45,37202243034,4,15, % Dmg crit,, % Tx. crit, % ATK, % HP, HP,Héroïque,6,Nemesis,69.63,67.6,72.03
46,42334995431,1,12, ATK, % HP, VIT, % Tx. crit, % Dmg crit, % Accuracy,Legend,6,Energy,0.0,79.03,71.6
47,30609254029,3,12, DEF, % HP, % Accuracy, % DEF, VIT, HP,Legend,6,Swift,59.54,71.93,71.58
48,28565363905,3,15, DEF, % Tx. crit, % Accuracy, VIT, % Res, % DEF,Héroïque,6,Revenge,70.0,73.81,71.49
49,41519041137,6,15, % ATK,, % Tx. crit, VIT, % Dmg crit, % HP,A Legend,16,Despair,0.0,78.89,71.47
50,40594177110,4,15, % Dmg crit,, % ATK, % Tx. crit, % HP, VIT,A Legend,16,Vampire,0.0,78.79,71.37
51,36971348930,1,15, ATK,, % ATK, HP, % Accuracy, VIT,Legend,6,Determination,64.99,72.13,71.37
52,38948868514,2,15, VIT, % Accuracy, % ATK, % HP, % Dmg crit, % DEF,Legend,6,Nemesis,63.33,72.79,71.32
53,29017951409,3,15, DEF,, % Tx. crit, % Accuracy, % DEF, VIT,Legend,6,Violent,70.0,70.28,71.15
54,37737924442,4,15, % ATK, % Res, % Dmg crit, % DEF, VIT, % HP,Héroïque,6,Endurance,66.66,70.21,71.08
55,39093773218,6,12, HP, DEF, % DEF, ATK, VIT, % HP,Legend,6,Revenge,0.0,78.15,70.8
56,37484366408,4,15, % DEF, % HP, VIT, DEF, % Tx. crit, HP,Legend,6,Swift,80.54,72.94,70.58
57,27281377606,4,12, % HP, DEF, % DEF, % Tx. crit, % Accuracy, ATK,Legend,5,Despair,0.0,77.73,70.41
58,29604454208,4,15, % Dmg crit, % HP, HP, VIT, % DEF, DEF,Legend,6,Lame,54.12,74.65,70.37
59,28058548194,5,15, HP, % Accuracy, % ATK, % HP, % Dmg crit, % Res,Legend,6,Swift,0.0,77.61,70.31
60,31588772534,2,15, % HP, VIT, % Res, HP, % ATK, % Dmg crit,Legend,5,Combat,0.0,77.35,70.07
61,39292820346,6,12, % HP, % Accuracy, % Dmg crit, % DEF, % ATK, % Res,Legend,6,Endurance,0.0,77.23,69.96
62,37136287738,1,9, ATK, % Accuracy, % Dmg crit, % Tx. crit, VIT, % Res,A Legend,16,Endurance,0.0,77.16,69.9
63,38947924610,4,15, % ATK,, VIT, % Dmg crit, % HP, HP,Legend,6,Destruction,79.15,64.8,69.73
64,29294714267,2,15, VIT, % Tx. crit, DEF, % Res, % HP, % DEF,Héroïque,5,Swift,62.22,64.19,69.7
65,31673896730,3,15, DEF,, % Tx. crit, % HP, % DEF, % Dmg crit,Legend,6,Rage,55.0,72.68,69.65
66,39025144796,1,12, ATK, % Res, VIT, % Dmg crit, % HP, % Tx. crit,Legend,6,Vampire,0.0,76.89,69.65
67,40307517882,1,12, ATK,, % Dmg crit, VIT, % Tx. crit, % Res,Legend,6,Endurance,0.0,76.87,69.64
68,36295314846,5,15, HP,, % Dmg crit, % ATK, % Tx. crit, ATK,Héroïque,6,Lame,66.66,68.59,69.63
69,29617935252,4,15, % Dmg crit, VIT, % Accuracy, % HP, HP, % Tx. crit,Legend,6,Energy,68.99,70.5,69.59
70,40741512765,4,12, % Dmg crit, % ATK, % Res, DEF, % HP, % Tx. crit,Legend,6,Rage,0.0,76.76,69.53
71,40613621036,3,15, DEF, % Dmg crit, % Tx. crit, % Res, VIT, % DEF,Héroïque,6,Gardian,75.0,72.33,69.51
72,27442177478,6,12, % ATK, % Res, % Accuracy, % HP, % DEF, VIT,Legend,5,Swift,0.0,76.67,69.46
73,35839479631,5,15, HP,, % DEF, % Res, % ATK, % Tx. crit,Legend,6,Violent,70.0,67.88,69.11
74,41517040366,3,15, DEF, VIT, % DEF, % Dmg crit, % Res, % Tx. crit,Héroïque,6,Focus,0.0,76.26,69.08
75,42017954066,1,15, ATK, % Res, % Tx. crit, % Dmg crit, HP, % ATK,Legend,6,Lame,65.99,67.34,69.06
76,36491179735,5,12, HP,, % Dmg crit, % HP, % Tx. crit, % DEF,Legend,6,Swift,50.0,71.31,69.06
77,38912956613,1,15, ATK, % Accuracy, % HP, HP, % Tx. crit, % ATK,Legend,6,Vampire,60.3,69.24,69.05
78,40657375132,1,12, ATK, % Accuracy, VIT, % Tx. crit, % Dmg crit, HP,Legend,6,Nemesis,0.0,76.22,69.04
79,30947574243,4,15, % DEF,, VIT, % Res, DEF, % HP,A Legend,16,Rage,0.0,76.14,68.98
80,39246066385,1,12, ATK, HP, % ATK, VIT, % Accuracy, % HP,Legend,6,Proctection,0.0,76.09,68.93
81,38941122079,6,15, % ATK,, % DEF, % Tx. crit, % HP, VIT,Héroïque,6,Nemesis,60.0,67.13,68.79
82,36447404493,1,12, ATK,, % Tx. crit, VIT, % ATK, % HP,Héroïque,6,Fatale,55.0,69.06,68.74
83,38996243548,6,15, % ATK, DEF, VIT, % Accuracy, % Tx. crit, % DEF,Legend,6,Will,0.0,75.87,68.73
84,40613714313,5,12, HP, % HP, VIT, DEF, % ATK, % DEF,Legend,6,Endurance,0.0,75.76,68.63
85,36660068538,6,15, % DEF, DEF, HP, % Dmg crit, % Accuracy, VIT,Legend,6,Despair,67.27,70.59,68.58
86,40337775995,3,12, DEF, % HP, VIT, % Dmg crit, % DEF, % Res,Legend,6,Endurance,0.0,75.64,68.52
87,37138539687,2,15, VIT,, % Tx. crit, % Dmg crit, % DEF, % ATK,A Legend,16,Swift,0.0,75.59,68.48
88,29281343270,4,15, % Dmg crit, ATK, % Tx. crit, VIT, % ATK, % DEF,Héroïque,6,Lame,60.0,65.6,68.48
89,27003777234,5,12, HP,, % Accuracy, VIT, % HP, % ATK,Héroïque,5,Swift,60.0,67.16,68.39
90,30844502070,1,15, ATK,, % Dmg crit, % Tx. crit, HP, % HP,Legend,6,Despair,55.63,71.68,68.36
91,36027194090,1,15, ATK,, % Tx. crit, % Res, % ATK, % HP,Legend,6,Will,55.0,69.27,68.14
92,30915740583,1,15, ATK,, % Tx. crit, VIT, % ATK, % Accuracy,Legend,6,Violent,60.0,72.43,68.11
93,29614117132,3,15, DEF,, HP, VIT, % Tx. crit, % HP,Legend,6,Fatale,72.42,66.64,68.09
94,40331222688,2,15, VIT,, DEF, % Res, % HP, % ATK,Legend,6,Violent,83.33,67.49,68.07
95,41615369662,3,15, DEF, VIT, % HP, % DEF, % Tx. crit, % Accuracy,Héroïque,6,Endurance,0.0,75.07,68.0
96,27904109506,4,15, % Tx. crit, % Accuracy, ATK, % DEF, % HP, % Res,Legend,6,Fatale,0.0,75.02,67.96
97,28273623748,3,12, DEF,, % Res, % Tx. crit, VIT, % DEF,Legend,6,Revenge,0.0,74.96,67.9
98,28425645300,4,15, % Dmg crit, % Accuracy, % HP, % DEF, VIT, % Res,Legend,6,Focus,60.0,68.67,67.87
99,39174917399,2,15, VIT, % Dmg crit, % HP, % DEF, % ATK, % Accuracy,Héroïque,6,Proctection,60.0,68.82,67.86
100,36298634343,6,15, % HP,, % Accuracy, % Dmg crit, VIT, HP,Legend,6,Energy,0.0,74.71,67.68
101,41704516076,1,12, ATK, HP, % Tx. crit, VIT, % Dmg crit, % ATK,Héroïque,6,Focus,0.0,74.7,67.67
102,38989870828,4,15, % Dmg crit,, % Tx. crit, VIT, % ATK, % DEF,Héroïque,6,Vampire,60.0,67.59,67.65
103,27279269870,3,12, DEF, % Accuracy, % Tx. crit, % DEF, % Dmg crit, % HP,Legend,6,Despair,55.0,70.97,67.58
104,40941470090,6,15, % HP, % Accuracy, % DEF, VIT, HP, DEF,Legend,6,Rage,0.0,74.57,67.56
105,38887965538,2,15, VIT, HP, % ATK, % Dmg crit, % Tx. crit, % Accuracy,Héroïque,6,Vampire,70.0,71.79,67.53
106,39080912533,5,12, HP,, % Tx. crit, % Dmg crit, % Res, VIT,Legend,6,Rage,0.0,74.52,67.51
107,28434845639,2,15, % HP, % ATK, % Dmg crit, % DEF, VIT, % Tx. crit,Héroïque,5,Violent,0.0,74.45,67.45
108,37472732392,6,15, % ATK, % Accuracy, VIT, % Dmg crit, % Tx. crit, % HP,Héroïque,6,Focus,65.0,68.87,67.39
109,36334241986,1,12, ATK,, % Accuracy, HP, % Tx. crit, % ATK,Legend,6,Energy,0.0,74.36,67.36
110,36170358307,1,12, ATK,, VIT, % HP, % Accuracy, % Dmg crit,Legend,6,Endurance,60.0,69.6,67.35
111,26864174243,4,15, % HP,, VIT, % ATK, % Accuracy, DEF,Legend,5,Violent,51.11,67.57,67.34
112,28743329556,1,12, ATK, % ATK, % Dmg crit, % Accuracy, % Res, % HP,Legend,6,Gardian,60.0,72.01,67.34
113,36006998583,3,15, DEF, VIT, % Res, % Accuracy, % DEF, % HP,Legend,6,Vampire,45.0,72.41,67.3
114,36267111906,4,15, % Dmg crit,, ATK, % HP, % ATK, % Tx. crit,Legend,6,Swift,53.33,71.96,67.28
115,38953644720,4,12, % Dmg crit,, % Res, % DEF, % HP, VIT,Legend,6,Nemesis,0.0,74.24,67.25
116,39159380526,5,12, HP, % Res, % Accuracy, % ATK, % Tx. crit, % Dmg crit,Legend,6,Revenge,0.0,74.2,67.22
117,36377456962,2,15, % DEF,, DEF, % Tx. crit, % Dmg crit, HP,Héroïque,6,Energy,66.66,69.61,67.2
118,38966108044,5,15, HP, VIT, % HP, % DEF, % ATK, % Tx. crit,Héroïque,6,Vampire,56.66,68.5,67.18
119,37203707658,5,12, HP, % DEF, % Accuracy, % Tx. crit, % Dmg crit, % ATK,Héroïque,6,Rage,70.0,70.22,67.16
120,40742566909,2,12, VIT, DEF, HP, % HP, ATK, % Res,Legend,6,Nemesis,0.0,74.1,67.13
121,39170551266,6,12, % ATK, ATK, % HP, % DEF, % Tx. crit, VIT,Legend,6,Proctection,0.0,74.07,67.1
122,29569177068,4,15, % Dmg crit,, % Tx. crit, VIT, % DEF, % ATK,Legend,6,Violent,56.66,67.97,67.07
123,38950377369,4,15, % Dmg crit,, VIT, % ATK, % Tx. crit, % Accuracy,Héroïque,6,Rage,60.0,70.83,66.93
124,27265237343,5,15, HP, % ATK, % Tx. crit, % DEF, VIT, % HP,Legend,6,Swift,0.0,73.81,66.86
125,30915830409,5,15, HP,, % Tx. crit, % HP, % ATK, % Accuracy,Legend,6,Violent,50.0,72.01,66.81
126,39051399467,6,15, % ATK, HP, % Tx. crit, ATK, % HP, VIT,Héroïque,6,Rage,62.22,65.05,66.77
127,36581338552,1,12, ATK, VIT, % Tx. crit, % Dmg crit, % ATK, % Accuracy,Héroïque,6,Swift,50.0,70.36,66.76
128,41735550169,1,12, ATK, % Res, % HP, % Accuracy, % Tx. crit, % ATK,Legend,6,Violent,0.0,73.7,66.76
129,31209668042,5,12, HP,, % Res, VIT, % Dmg crit, % Tx. crit,Legend,6,Despair,0.0,73.52,66.6
130,42252342963,2,12, % DEF, % Accuracy, ATK, VIT, % ATK, % Res,Legend,6,Combat,0.0,73.52,66.6
131,36295668525,6,15, % ATK,, VIT, ATK, HP, % Tx. crit,Héroïque,6,Fatale,62.94,65.02,66.6
132,37374576331,3,12, DEF, % DEF, VIT, % Accuracy, % Dmg crit, HP,A Legend,15,Will,0.0,73.5,66.58
133,37136275094,5,12, HP,, % Tx. crit, VIT, % DEF, DEF,Legend,6,Determination,64.44,65.21,66.56
134,40348692245,5,15, HP,, % Accuracy, % Tx. crit, VIT, % DEF,Legend,6,Violent,0.0,73.44,66.53
135,27170139480,4,15, % DEF,, % Accuracy, HP, VIT, % HP,Héroïque,6,Despair,61.69,66.25,66.51
136,28050809276,2,12, % HP, % ATK, % Dmg crit, % Accuracy, VIT, ATK,Legend,6,Swift,0.0,73.4,66.49
137,37287677769,3,12, DEF,, VIT, % HP, HP, % DEF,Legend,6,Violent,0.0,73.39,66.49
138,36334180304,4,15, % ATK,, % HP, VIT, % Res, % DEF,Héroïque,6,Fatale,63.33,66.71,66.47
139,39134842824,6,12, % HP, % Accuracy, VIT, % Res, DEF, HP,Legend,6,Proctection,0.0,73.36,66.46
140,28556774344,5,12, HP, % Tx. crit, % Dmg crit, VIT, % DEF, % HP,Héroïque,6,Endurance,60.0,67.07,66.45
141,37357556208,5,12, HP, ATK, % HP, % Dmg crit, % ATK, % Accuracy,Héroïque,6,Nemesis,0.0,73.32,66.42
142,27889684372,5,12, HP, ATK, % Dmg crit, DEF, % ATK, % HP,Legend,6,Swift,0.0,73.27,66.38
143,29123177590,5,12, HP, DEF, % Accuracy, ATK, % HP, VIT,Legend,5,Proctection,0.0,73.27,66.38
144,37136351110,6,15, % Accuracy, HP, VIT, DEF, % Tx. crit, % ATK,A Héroïqie,16,Vampire,0.0,73.25,66.35
145,31592351420,6,15, % ATK, % HP, HP, ATK, % Tx. crit, % Accuracy,Legend,6,Nemesis,62.03,66.88,66.25
146,40742457148,6,15, % ATK,, % HP, % Dmg crit, VIT, % Accuracy,A Legend,16,Swift,0.0,73.11,66.23
147,27206882656,5,15, HP, % Res, % HP, DEF, VIT, % Dmg crit,Héroïque,5,Energy,60.0,72.17,66.2
148,37466107970,2,15, % ATK, % DEF, VIT, % Dmg crit, % HP, % Tx. crit,Héroïque,6,Endurance,60.0,68.77,66.11
149,40595297460,1,12, ATK, % HP, % Res, % ATK, % Tx. crit, % Dmg crit,Legend,6,Violent,0.0,72.86,66.01
150,40728390351,1,12, ATK, % Res, VIT, % ATK, % Accuracy, % Tx. crit,Legend,6,Nemesis,0.0,72.81,65.96
151,36287986754,1,12, ATK, HP, % HP, % Dmg crit, VIT, % Tx. crit,Legend,6,Lame,0.0,72.78,65.93
152,31699288821,2,15, % ATK, % DEF, % Accuracy, % Dmg crit, % Tx. crit, % HP,Héroïque,6,Vampire,90.0,66.49,65.88
153,41915048496,1,12, ATK,, % Accuracy, % Dmg crit, % HP, % Tx. crit,Legend,6,Violent,0.0,72.69,65.85
154,39220034746,3,12, DEF,, % HP, % Accuracy, % Dmg crit, VIT,Legend,6,Revenge,0.0,72.69,65.85
155,37136290886,1,12, ATK,, VIT, % Dmg crit, % ATK, % HP,A Legend,16,Endurance,0.0,72.68,65.84
156,36334030230,5,15, HP,, % Dmg crit, % Res, % ATK, % Tx. crit,Legend,6,Despair,50.0,71.07,65.82
157,30943112145,5,12, HP, ATK, % Dmg crit, VIT, % ATK, % HP,Héroïque,6,Despair,56.66,66.3,65.81
158,37287397989,1,12, ATK,, % Tx. crit, % ATK, % HP, % Res,Legend,6,Rage,55.0,66.12,65.81
159,29153550836,4,15, % HP,, VIT, % DEF, % Accuracy, % Res,Legend,6,Revenge,40.0,71.46,65.79
160,40599343482,3,12, DEF, % Dmg crit, HP, VIT, % Tx. crit, % HP,Legend,6,Gardian,0.0,72.57,65.74
161,37026268397,4,12, % Tx. crit,, % DEF, % Dmg crit, % HP, % ATK,Legend,6,Determination,0.0,72.57,65.74
162,41022998671,5,15, HP, % HP, % Dmg crit, % ATK, VIT, % Accuracy,Héroïque,6,Vampire,0.0,72.55,65.72
163,38991341462,1,15, ATK,, % Accuracy, VIT, HP, % HP,Héroïque,6,Destruction,70.06,63.1,65.7
164,37709261698,5,12, HP, DEF, VIT, % DEF, ATK, % HP,Héroïque,6,Revenge,0.0,72.46,65.64
165,37501558004,1,15, ATK, % ATK, % Dmg crit, VIT, % HP, HP,Héroïque,6,Violent,62.96,62.08,65.59
166,40658396905,4,15, % HP, ATK, % ATK, VIT, % Accuracy, DEF,Legend,6,Will,63.33,67.53,65.58
167,38949524057,6,15, % HP, % Accuracy, % DEF, % Tx. crit, VIT, ATK,Héroïque,6,Destruction,70.0,67.3,65.56
168,29258944989,3,15, DEF,, VIT, % HP, % Accuracy, % DEF,Héroïque,6,Violent,53.33,66.12,65.52
169,39115795873,4,12, % ATK, HP, % DEF, % Accuracy, VIT, % Tx. crit,Legend,6,Revenge,0.0,72.3,65.5
170,27019194313,6,15, % ATK, % Dmg crit, % Tx. crit, % Accuracy, VIT, % HP,Héroïque,5,Swift,0.0,72.29,65.49
171,42337093427,3,15, DEF,, % Dmg crit, % Tx. crit, VIT, % DEF,Héroïque,6,Lame,70.0,65.66,65.41
172,39093806398,1,12, ATK,, % Accuracy, % HP, % ATK, VIT,Legend,6,Gardian,0.0,72.18,65.39
173,38975256961,2,12, % DEF, HP, VIT, % HP, DEF, % Res,Legend,6,Destruction,0.0,72.17,65.38
174,27036259439,2,15, % ATK, % Dmg crit, ATK, HP, % Tx. crit, DEF,Legend,5,Lame,65.75,63.93,65.35
175,27333531364,5,12, HP, % Res, % ATK, % Accuracy, % HP, % DEF,Legend,6,Energy,0.0,72.08,65.3
176,37841381726,1,9, ATK, % Dmg crit, % Res, % HP, % ATK, % Accuracy,Legend,6,Endurance,0.0,72.08,65.3
177,39252937275,4,12, % DEF,, % HP, % Dmg crit, % Tx. crit, % Res,Legend,6,Proctection,0.0,72.08,65.29
178,27149699590,6,15, % DEF,, VIT, % Dmg crit, % Tx. crit, % HP,Legend,6,Violent,50.0,68.44,65.28
179,36333626415,4,15, % DEF,, DEF, % Res, % Dmg crit, % Accuracy,Legend,6,Lame,70.0,67.61,65.27
180,40997040162,5,15, HP, % Accuracy, % HP, VIT, DEF, % Dmg crit,Héroïque,6,Will,68.88,60.99,65.27
181,30683017381,3,12, DEF, % DEF, VIT, % Tx. crit, % HP, % Accuracy,Legend,6,Violent,60.0,72.04,65.26
182,37021446880,3,15, DEF,, % DEF, % HP, % Tx. crit, % Dmg crit,Legend,6,Determination,64.99,66.96,65.26
183,39117015975,2,15, % HP, % Tx. crit, % ATK, % Dmg crit, % Res, VIT,Héroïque,6,Violent,0.0,72.0,65.23
184,40741566963,6,15, % HP, % DEF, % Accuracy, VIT, % Res, ATK,Héroïque,6,Nemesis,0.0,72.0,65.22
185,38976597546,4,15, % Dmg crit, % HP, VIT, % Res, % ATK, % DEF,Héroïque,6,Destruction,63.33,65.01,65.21
186,29204829903,1,12, ATK, % Res, % Tx. crit, % Accuracy, % HP, % ATK,Legend,5,Violent,0.0,71.98,65.21
187,26682210841,6,15, % ATK,, VIT, % Tx. crit, ATK, % Accuracy,Rare,6,Fatale,55.0,67.7,65.2
188,37599465685,3,12, DEF, % HP, % Dmg crit, VIT, % Res, % Accuracy,Legend,6,Violent,0.0,71.96,65.19
189,39411235362,4,15, % Tx. crit,, % ATK, % Accuracy, VIT, % HP,Legend,6,Revenge,0.0,71.93,65.16
190,40352128603,5,12, HP,, % Tx. crit, ATK, % ATK, % Dmg crit,Legend,6,Focus,0.0,71.86,65.1
191,38895488633,3,15, DEF,, % Accuracy, % Tx. crit, % Dmg crit, % HP,Legend,6,Vampire,70.0,68.77,65.06
192,28567094918,3,15, DEF,, VIT, % DEF, % Accuracy, % HP,Héroïque,6,Violent,55.0,66.41,65.02
193,31594031668,5,15, HP,, % Dmg crit, DEF, % Tx. crit, % ATK,Legend,6,Rage,71.66,67.74,65.01
194,27994045640,1,15, ATK,, % Tx. crit, % HP, % ATK, HP,Héroïque,6,Vampire,73.87,57.14,64.99
195,36794020865,5,15, HP, DEF, VIT, % HP, % Tx. crit, % Accuracy,Héroïque,6,Swift,50.0,72.45,64.98
196,37407414740,5,12, HP, DEF, VIT, % Dmg crit, % HP, % ATK,Héroïque,6,Violent,0.0,71.7,64.95
197,40629636112,3,12, DEF,, % DEF, % HP, % Accuracy, VIT,Legend,6,Endurance,0.0,71.63,64.89
198,39068351858,4,15, % Dmg crit, VIT, % Tx. crit, % Accuracy, % DEF, % Res,Héroïque,6,Rage,50.0,71.15,64.85
199,38965408468,5,15, HP,, VIT, % Tx. crit, % ATK, % DEF,Héroïque,6,Vampire,60.0,59.85,64.82
200,40755954948,3,12, DEF, % Tx. crit, % Dmg crit, HP, % Accuracy, VIT,Legend,6,Will,0.0,71.49,64.76
201,42208389083,5,12, HP, ATK, % Tx. crit, % DEF, % HP, % Dmg crit,Héroïque,6,Endurance,0.0,71.48,64.75
202,37408465841,1,12, ATK,, % Dmg crit, % Accuracy, HP, % Tx. crit,Legend,6,Focus,0.0,71.43,64.71
203,31745162439,5,15, HP, ATK, % HP, % Dmg crit, % ATK, VIT,Héroïque,6,Vampire,60.0,66.36,64.68
204,38935403668,5,15, HP,, % ATK, % Tx. crit, VIT, % DEF,Héroïque,6,Rage,56.66,64.98,64.63
205,41918613457,1,15, ATK, % Accuracy, VIT, % Tx. crit, % HP, % Dmg crit,Héroïque,6,Swift,60.0,71.47,64.61
206,40955605819,5,12, HP, ATK, % DEF, % Dmg crit, % ATK, % HP,Legend,6,Nemesis,0.0,71.2,64.5
207,28310237209,3,12, DEF,, % Dmg crit, % HP, % DEF, VIT,A Legend,16,Rage,0.0,71.16,64.46
208,39221208801,1,12, ATK,, % Dmg crit, % HP, % Accuracy, % Tx. crit,Legend,6,Endurance,0.0,71.14,64.44
209,27157996769,2,15, VIT, % DEF, % Accuracy, % Res, HP, % Dmg crit,Héroïque,6,Energy,79.63,63.11,64.42
210,27318592843,1,15, ATK, % Res, VIT, HP, % HP, % ATK,Héroïque,6,Energy,0.0,71.09,64.41
211,36783483495,2,15, VIT, % Accuracy, % Res, % ATK, % DEF, % HP,Legend,6,Swift,46.66,69.92,64.39
212,36078704560,3,15, DEF,, % Tx. crit, % HP, % Dmg crit, VIT,Legend,6,Rage,55.0,68.48,64.38
213,30915761017,5,15, HP, % Res, VIT, % Tx. crit, % Accuracy, % ATK,Héroïque,6,Violent,50.0,69.71,64.33
214,27561432035,4,12, % ATK, % DEF, % Dmg crit, % Accuracy, % Res, % HP,Héroïque,6,Energy,0.0,71.01,64.32
215,39173703614,5,15, HP, ATK, VIT, % HP, % Accuracy, % Res,Héroïque,6,Violent,60.0,66.64,64.31
216,39068763004,5,15, HP, % Res, % Dmg crit, % ATK, % Accuracy, % HP,Héroïque,6,Will,70.0,65.86,64.26
217,41061031228,6,15, % ATK,, % HP, % Tx. crit, % Accuracy, VIT,Legend,6,Violent,30.0,70.2,64.25
